Date,Time,2050012,2044813,2051151,2052038,2052047,2052309,2052487,2052495,2052511
11/21/2015,15:10:00,104.143,104.238,104.2,104.168,104.127,104.145,104.081,104.136,104.149
11/21/2015,15:15:00,104.133,104.232,104.193,104.151,104.113,104.146,104.066,104.121,104.13
11/21/2015,15:20:00,104.132,104.231,104.19,104.155,104.113,104.138,104.071,104.123,104.136
11/21/2015,15:25:00,104.124,104.232,104.186,104.147,104.106,104.13,104.062,104.115,104.124
11/21/2015,15:30:00,104.111,104.216,104.174,104.131,104.107,104.118,104.048,104.097,104.122
11/21/2015,15:35:00,104.101,104.219,104.17,104.129,104.095,104.114,104.046,104.099,104.11
11/21/2015,15:40:00,104.103,104.215,104.168,104.125,104.089,104.11,104.044,104.096,104.105
11/21/2015,15:45:00,104.095,104.213,104.163,104.121,104.079,104.105,104.037,104.087,104.097
11/21/2015,15:50:00,104.092,104.203,104.161,104.11,104.084,104.096,104.03,104.08,104.103
11/21/2015,15:55:00,104.098,104.2,104.158,104.112,104.068,104.088,104.032,104.084,104.092
11/21/2015,16:00:00,104.087,104.202,104.157,104.106,104.068,104.084,104.022,104.078,104.09
11/21/2015,16:05:00,104.066,104.196,104.151,104.096,104.055,104.079,104.012,104.066,104.082
11/21/2015,16:10:00,104.069,104.197,104.144,104.092,104.052,104.077,104.013,104.066,104.077
11/21/2015,16:15:00,104.06,104.187,104.14,104.089,104.044,104.075,104.004,104.061,104.069
11/21/2015,16:20:00,104.064,104.189,104.143,104.091,104.058,104.075,104.008,104.055,104.088
11/21/2015,16:25:00,104.059,104.187,104.138,104.094,104.055,104.07,104.016,104.067,104.085
11/21/2015,16:30:00,104.051,104.185,104.13,104.084,104.046,104.061,104.003,104.054,104.075
11/21/2015,16:35:00,104.044,104.175,104.127,104.075,104.031,104.057,103.997,104.048,104.07
11/21/2015,16:40:00,104.039,104.175,104.124,104.074,104.03,104.054,104,104.046,104.068
11/21/2015,16:45:00,104.032,104.166,104.115,104.065,104.024,104.047,103.989,104.038,104.057
11/21/2015,16:50:00,104.033,104.173,104.117,104.066,104.027,104.05,103.987,104.038,104.06
11/21/2015,16:55:00,104.035,104.176,104.142,104.064,104.021,104.049,103.995,104.042,104.06
